flask,block,antibiotic,competitor_1,competitor_2,background,comp1_d0,comp2_d0,comp1_d1,comp2_d1,comp1_d3,comp2_d3,paired_ID
1,1,TET,KJC60,REL607,Ancestor,163,190,112,250,28,331,1
2,1,TET,KJC64,REL10948,AraP4,115,161,178,211,164,113,2
3,1,TET,KJC65,REL10948,AraP5,121,178,146,132,147,72,3
4,1,TET,KJC66,REL11638,AraM5,152,178,121,262,104,332,4
5,1,TET,KJC67,REL11638,AraM6,190,231,144,281,111,179,5
6,1,TET,REL606,REL607,,206,230,191,197,274,246,1
7,1,TET,REL11348,REL10948,,132,159,89,201,17,260,2
8,1,TET,REL11367,REL10948,,122,161,177,115,193,50,3
9,1,TET,REL11339,REL11638,,179,208,151,203,148,215,4
10,1,TET,REL11389,REL11638,,143,159,172,185,244,123,5
11,1,TET,REL10948,REL11638,,178,229,156,206,175,216,6
12,1,TET,KJC61,REL607,Ancestor,133,195,147,263,119,629,7
13,1,TET,KJC72,REL10948,AraP4,34,208,49,205,42,203,8
14,1,TET,KJC73,REL10948,AraP5,87,216,26,255,7,338,9
15,1,TET,KJC74,REL11638,AraM5,127,258,67,272,43,265,10
16,1,TET,KJC75,REL11638,AraM6,94,271,67,339,47,322,11
17,1,TET,REL606,REL607,,239,221,161,169,206,204,7
18,1,TET,REL11348,REL10948,,142,150,95,238,33,280,8
19,1,TET,REL11367,REL10948,,114,113,157,123,124,119,9
20,1,TET,REL11339,REL11638,,120,162,119,226,84,152,10
21,1,TET,REL11389,REL11638,,125,148,152,110,187,96,11
22,1,TET,REL10948,REL11638,,171,250,154,217,160,210,12
23,1,TET,KJC62,REL607,Ancestor,170,168,148,231,80,304,13
24,1,TET,KJC63,REL607,Ancestor,157,181,171,168,195,15,14
25,1,TET,KJC80,REL10948,AraP4,57,146,28,333,3,501,15
26,1,TET,KJC81,REL10948,AraP5,164,123,163,118,165,222,16
27,1,TET,KJC82,REL11638,AraM5,176,235,137,258,154,360,17
28,1,TET,KJC83,REL11638,AraM6,214,183,126,131,242,249,18
29,1,TET,REL606,REL607,,197,191,178,204,249,222,13
30,1,TET,REL606,REL607,,197,191,178,204,249,222,14
31,1,TET,REL11348,REL10948,,135,149,26,266,30,439,15
32,1,TET,REL11367,REL10948,,138,189,135,125,163,109,16
33,1,TET,REL11339,REL11638,,179,206,139,173,149,285,17
34,1,TET,REL11389,REL11638,,142,249,228,152,279,198,18
35,1,TET,REL10948,REL11638,,187,187,156,236,209,236,19
1,2,TET,KJC60,REL607,Ancestor,256,112,194,226,393,355,1
2,2,TET,KJC64,REL10948,AraP4,137,304,102,175,171,224,2
3,2,TET,KJC65,REL10948,AraP5,198,244,144,156,185,126,3
4,2,TET,KJC66,REL11638,AraM5,175,186,123,169,153,308,4
5,2,TET,KJC67,REL11638,AraM6,261,255,128,243,204,330,5
6,2,TET,REL606,REL607,,122,136,274,241,367,120,1
7,2,TET,REL11348,REL10948,,225,237,238,221,334,361,2
8,2,TET,REL11367,REL10948,,83,165,93,159,216,279,3
9,2,TET,REL11339,REL11638,,91,181,83,184,163,432,4
10,2,TET,REL11389,REL11638,,74,109,96,231,153,349,5
11,2,TET,REL10948,REL11638,,211,222,149,162,339,296,6
12,2,TET,KJC61,REL607,Ancestor,240,112,246,201,350,251,7
13,2,TET,KJC72,REL10948,AraP4,33,200,14,109,51,248,8
14,2,TET,KJC73,REL10948,AraP5,77,132,12,205,7,390,9
15,2,TET,KJC74,REL11638,AraM5,134,217,35,224,66,437,10
16,2,TET,KJC75,REL11638,AraM6,222,232,111,241,166,349,11
17,2,TET,REL606,REL607,,130,109,201,173,280,98,7
18,2,TET,REL11348,REL10948,,117,147,89,93,113,114,8
19,2,TET,REL11367,REL10948,,34,90,54,136,99,170,9
20,2,TET,REL11339,REL11638,,67,160,72,293,86,317,10
21,2,TET,REL11389,REL11638,,77,196,23,52,115,236,11
22,2,TET,REL10948,REL11638,,226,221,152,163,294,296,12
23,2,TET,KJC62,REL607,Ancestor,247,133,271,198,285,172,13
24,2,TET,KJC63,REL607,Ancestor,254,136,248,143,333,141,14
25,2,TET,KJC80,REL10948,AraP4,114,112,21,213,1,305,15
26,2,TET,KJC81,REL10948,AraP5,108,197,43,230,71,395,16
27,2,TET,KJC82,REL11638,AraM5,196,101,156,269,129,355,17
28,2,TET,KJC83,REL11638,AraM6,181,172,162,234,190,256,18
29,2,TET,REL606,REL607,,120,142,249,167,363,81,13
30,2,TET,REL606,REL607,,120,142,249,167,363,81,14
31,2,TET,REL11348,REL10948,,163,142,160,152,181,194,15
32,2,TET,REL11367,REL10948,,53,155,63,155,139,174,16
33,2,TET,REL11339,REL11638,,75,142,73,189,60,317,17
34,2,TET,REL11389,REL11638,,59,126,68,170,118,256,18
35,2,TET,REL10948,REL11638,,152,141,158,164,222,208,19
1,3,TET,KJC60,REL607,Ancestor,294,381,188,294,229,71,1
2,3,TET,KJC64,REL10948,AraP4,217,263,205,223,137,138,2
3,3,TET,KJC65,REL10948,AraP5,183,223,178,152,149,110,3
4,3,TET,KJC66,REL11638,AraM5,218,245,143,239,100,228,4
5,3,TET,KJC67,REL11638,AraM6,304,264,110,303,91,198,5
6,3,TET,REL606,REL607,,515,499,289,263,297,31,1
7,3,TET,REL11348,REL10948,,232,225,215,237,168,188,2
8,3,TET,REL11367,REL10948,,177,229,153,188,144,79,3
9,3,TET,REL11339,REL11638,,205,217,114,199,91,154,4
10,3,TET,REL11389,REL11638,,179,213,181,231,142,185,5
11,3,TET,REL10948,REL11638,,204,199,108,211,224,229,6
12,3,TET,KJC61,REL607,Ancestor,419,460,183,244,185,67,7
13,3,TET,KJC72,REL10948,AraP4,18,193,8,183,3,203,8
14,3,TET,KJC73,REL10948,AraP5,96,184,41,281,2,378,9
15,3,TET,KJC74,REL11638,AraM5,215,206,57,264,38,271,10
16,3,TET,KJC75,REL11638,AraM6,213,295,88,313,61,327,11
17,3,TET,REL606,REL607,,495,467,277,260,225,43,7
18,3,TET,REL11348,REL10948,,198,154,162,184,177,180,8
19,3,TET,REL11367,REL10948,,157,218,104,155,143,163,9
20,3,TET,REL11339,REL11638,,145,157,105,206,98,218,10
21,3,TET,REL11389,REL11638,,202,231,214,264,204,247,11
22,3,TET,REL10948,REL11638,,249,262,258,240,260,244,12
23,3,TET,KJC62,REL607,Ancestor,349,369,309,321,248,79,13
24,3,TET,KJC63,REL607,Ancestor,479,513,315,289,401,21,14
25,3,TET,KJC80,REL10948,AraP4,106,254,16,219,2,395,15
26,3,TET,KJC81,REL10948,AraP5,186,227,38,210,155,276,16
27,3,TET,KJC82,REL11638,AraM5,231,197,121,208,128,228,17
28,3,TET,KJC83,REL11638,AraM6,255,243,258,251,237,276,18
29,3,TET,REL606,REL607,,569,536,361,344,336,48,13
30,3,TET,REL606,REL607,,528,448,368,309,346,47,14
31,3,TET,REL11348,REL10948,,252,256,220,202,264,223,15
32,3,TET,REL11367,REL10948,,174,201,209,172,193,99,16
33,3,TET,REL11339,REL11638,,230,261,157,196,53,173,17
34,3,TET,REL11389,REL11638,,191,259,183,205,258,111,18
35,3,TET,REL10948,REL11638,,221,219,218,234,205,212,19
1,4,TET,KJC60,REL607,Ancestor,342,361,293,457,204,743,1
2,4,TET,KJC64,REL10948,AraP4,219,257,189,166,203,153,2
3,4,TET,KJC65,REL10948,AraP5,193,242,233,210,253,244,3
4,4,TET,KJC66,REL11638,AraM5,255,224,189,254,143,273,4
5,4,TET,KJC67,REL11638,AraM6,274,266,166,308,150,357,5
6,4,TET,REL606,REL607,,273,276,254,247,486,135,1
7,4,TET,REL11348,REL10948,,195,247,216,248,209,235,2
8,4,TET,REL11367,REL10948,,166,226,207,180,198,146,3
9,4,TET,REL11339,REL11638,,186,252,164,235,148,270,4
10,4,TET,REL11389,REL11638,,163,285,187,209,231,205,5
11,4,TET,REL10948,REL11638,,286,264,233,249,303,322,6
12,4,TET,KJC61,REL607,Ancestor,480,532,269,430,157,639,7
13,4,TET,KJC72,REL10948,AraP4,6,206,13,193,2,175,8
14,4,TET,KJC73,REL10948,AraP5,74,233,3,255,5,339,9
15,4,TET,KJC74,REL11638,AraM5,229,271,83,247,25,384,10
16,4,TET,KJC75,REL11638,AraM6,238,256,173,282,132,340,11
17,4,TET,REL606,REL607,,206,195,394,388,338,134,7
18,4,TET,REL11348,REL10948,,175,210,184,224,216,313,8
19,4,TET,REL11367,REL10948,,163,150,238,205,194,158,9
20,4,TET,REL11339,REL11638,,214,232,187,245,131,277,10
21,4,TET,REL11389,REL11638,,112,215,202,248,218,282,11
22,4,TET,REL10948,REL11638,,153,132,182,158,266,222,12
23,4,TET,KJC62,REL607,Ancestor,475,514,289,414,236,688,13
24,4,TET,KJC63,REL607,Ancestor,557,542,333,308,222,49,14
25,4,TET,KJC80,REL10948,AraP4,88,232,21,298,2,418,15
26,4,TET,KJC81,REL10948,AraP5,199,288,79,232,171,240,16
27,4,TET,KJC82,REL11638,AraM5,248,229,183,217,127,310,17
28,4,TET,KJC83,REL11638,AraM6,209,265,230,325,191,365,18
29,4,TET,REL606,REL607,,281,278,203,251,388,154,13
30,4,TET,REL606,REL607,,357,340,372,347,425,136,14
31,4,TET,REL11348,REL10948,,266,234,199,244,161,226,15
32,4,TET,REL11367,REL10948,,194,247,227,215,218,137,16
33,4,TET,REL11339,REL11638,,215,209,185,202,84,224,17
34,4,TET,REL11389,REL11638,,108,234,163,237,155,248,18
35,4,TET,REL10948,REL11638,,269,280,263,242,255,253,19
1,5,TET,KJC60,REL607,Ancestor,344,407,187,194,197,46,1
2,5,TET,KJC64,REL10948,AraP4,184,215,199,175,192,125,2
3,5,TET,KJC65,REL10948,AraP5,135,261,167,189,158,180,3
4,5,TET,KJC66,REL11638,AraM5,226,264,127,248,93,277,4
5,5,TET,KJC67,REL11638,AraM6,249,255,146,261,55,314,5
6,5,TET,REL606,REL607,,329,311,322,314,193,36,1
7,5,TET,REL11348,REL10948,,269,258,216,209,257,252,2
8,5,TET,REL11367,REL10948,,178,264,207,224,183,156,3
9,5,TET,REL11339,REL11638,,203,290,204,285,188,304,4
10,5,TET,REL11389,REL11638,,223,266,217,253,226,240,5
11,5,TET,REL10948,REL11638,,279,263,211,220,198,202,6
12,5,TET,KJC61,REL607,Ancestor,257,284,143,174,327,87,7
13,5,TET,KJC72,REL10948,AraP4,12,238,13,276,13,276,8
14,5,TET,KJC73,REL10948,AraP5,82,273,5,303,11,501,9
15,5,TET,KJC74,REL11638,AraM5,175,254,22,316,18,415,10
16,5,TET,KJC75,REL11638,AraM6,179,269,76,254,58,411,11
17,5,TET,REL606,REL607,,315,292,296,284,277,69,7
18,5,TET,REL11348,REL10948,,215,219,258,264,281,279,8
19,5,TET,REL11367,REL10948,,148,223,235,207,229,182,9
20,5,TET,REL11339,REL11638,,191,256,158,236,137,281,10
21,5,TET,REL11389,REL11638,,169,246,215,253,233,241,11
22,5,TET,REL10948,REL11638,,276,256,250,277,266,283,12
23,5,TET,KJC62,REL607,Ancestor,249,295,201,228,155,29,13
24,5,TET,KJC63,REL607,Ancestor,313,321,196,215,306,38,14
25,5,TET,KJC80,REL10948,AraP4,129,258,14,299,12,360,15
26,5,TET,KJC81,REL10948,AraP5,208,239,114,233,141,255,16
27,5,TET,KJC82,REL11638,AraM5,232,205,212,266,164,348,17
28,5,TET,KJC83,REL11638,AraM6,174,278,203,251,160,279,18
29,5,TET,REL606,REL607,,299,272,268,258,313,69,13
30,5,TET,REL606,REL607,,369,348,342,336,290,85,14
31,5,TET,REL11348,REL10948,,274,279,234,249,276,261,15
32,5,TET,REL11367,REL10948,,189,264,197,209,243,210,16
33,5,TET,REL11339,REL11638,,202,241,143,189,223,327,17
34,5,TET,REL11389,REL11638,,161,277,213,252,209,242,18
35,5,TET,REL10948,REL11638,,296,262,219,215,321,343,19
